 Latitude, Longitude,DateGMT,TimeGMT
-27.2009733,-109.4530733,02/11/2017,17:05:30
-27.2008383,-109.4530583,02/11/2017,17:09:35
-27.2005317,-109.4529283,02/11/2017,17:13:50
-27.2009217,-109.4530633,02/11/2017,17:17:59
-27.200645,-109.45288,02/11/2017,17:22:13
-27.2006117,-109.452795,02/11/2017,17:26:25
-27.2014483,-109.45348,02/11/2017,17:30:37
-27.2012683,-109.4533583,02/11/2017,17:34:49
-27.201175,-109.453325,02/11/2017,17:39:01
-27.2009717,-109.45313,02/11/2017,17:43:09
-27.20099,-109.45312,02/11/2017,17:47:14
-27.2010717,-109.4532117,02/11/2017,17:51:25
-27.2009517,-109.4531483,02/11/2017,17:55:31
-27.2009633,-109.4531167,02/11/2017,17:59:37
-27.2009233,-109.45306,02/11/2017,18:03:43
-27.20096,-109.4531017,02/11/2017,18:07:50
-27.20092,-109.4530483,02/11/2017,18:11:57
-27.2009617,-109.4531333,02/11/2017,18:16:04
-27.20096,-109.4530433,02/11/2017,18:20:10
-27.20094,-109.4530333,02/11/2017,18:24:16
-27.2009617,-109.4530467,02/11/2017,18:28:24
-27.2009933,-109.4531217,02/11/2017,18:32:29
-27.2010133,-109.4532133,02/11/2017,18:36:36
-27.200925,-109.452905,02/11/2017,18:40:44
-27.2009817,-109.4530667,02/11/2017,18:44:56
-27.2009767,-109.453055,02/11/2017,18:49:07
-27.2009833,-109.45309,02/11/2017,18:53:16
-27.2009733,-109.4531067,02/11/2017,18:57:26
-27.2009817,-109.4531433,02/11/2017,19:01:30
-27.2010033,-109.4530933,02/11/2017,19:05:39
-27.2010033,-109.453115,02/11/2017,19:09:45
-27.201015,-109.4531817,02/11/2017,19:13:53
-27.2009667,-109.4530317,02/11/2017,19:17:57
-27.2009567,-109.4530917,02/11/2017,19:22:01
-27.20093,-109.4531533,02/11/2017,19:26:14
-27.2077917,-109.4538783,02/11/2017,19:30:25
-27.2323483,-109.459645,02/11/2017,19:34:31
-27.2366133,-109.4546733,02/11/2017,19:38:43
-27.2428867,-109.4604517,02/11/2017,19:42:55
-27.24006,-109.4629817,02/11/2017,19:47:25
-27.24054,-109.476035,02/11/2017,19:51:43
-27.2522567,-109.455095,02/11/2017,19:56:06
-27.2533817,-109.4572833,02/11/2017,20:00:38
-27.2392933,-109.45427,02/11/2017,20:04:53
-27.2135633,-109.4509583,02/11/2017,20:09:24
-27.2012167,-109.4531067,02/11/2017,20:13:59
-27.2009933,-109.4530833,02/11/2017,20:18:30
-27.200965,-109.4531,02/11/2017,20:22:35
-27.2010167,-109.453075,02/11/2017,20:26:39
-27.2009617,-109.4531383,02/11/2017,20:30:44
-27.2012017,-109.45329,02/11/2017,20:34:49
-27.2009533,-109.4531133,02/11/2017,20:38:53
-27.2009917,-109.4530933,02/11/2017,20:42:59
-27.2009633,-109.453105,02/11/2017,20:47:04
-27.200985,-109.4531817,02/11/2017,20:51:08
-27.2010217,-109.45316,02/11/2017,20:55:12
-27.2009917,-109.4531667,02/11/2017,20:59:16
-27.20104,-109.4530867,02/11/2017,21:03:22
-27.2010533,-109.4531433,02/11/2017,21:07:27
-27.201075,-109.453115,02/11/2017,21:11:32
-27.2010933,-109.45315,02/11/2017,21:15:36
-27.20109,-109.4531333,02/11/2017,21:19:42
-27.20097,-109.45308,02/11/2017,21:23:47
-27.2010133,-109.4531833,02/11/2017,21:27:50
-27.2014833,-109.4529483,02/11/2017,21:31:53
-27.2009433,-109.453045,02/11/2017,21:35:57
-27.2010267,-109.45303,02/11/2017,21:40:00
-27.201315,-109.452915,02/11/2017,21:44:03
-27.201105,-109.4530383,02/11/2017,21:48:07
-27.2010267,-109.45309,02/11/2017,21:52:12
-27.2009567,-109.4530483,02/11/2017,21:56:16
-27.201105,-109.4529767,02/11/2017,22:00:20
-27.20119,-109.4529083,02/11/2017,22:04:24
-27.2009783,-109.453035,02/11/2017,22:08:29
-27.201105,-109.4529167,02/11/2017,22:12:33
-27.20111,-109.45293,02/11/2017,22:16:37
-27.2009,-109.4531217,02/11/2017,22:20:49
-27.2009433,-109.453125,02/11/2017,22:25:01
-27.2009733,-109.4530817,02/11/2017,22:29:14
-27.200975,-109.4530783,02/11/2017,22:33:25
-27.2009417,-109.4531217,02/11/2017,22:37:37
-27.20095,-109.4530883,02/11/2017,22:41:50
-27.20095,-109.4531567,02/11/2017,22:46:01
-27.2010417,-109.4530433,02/11/2017,22:50:13
-27.2009417,-109.4530783,02/11/2017,22:54:25
-27.2010133,-109.4530367,02/11/2017,22:58:38
-27.2009433,-109.4531117,02/11/2017,23:02:43
-27.2008933,-109.4532267,02/11/2017,23:06:48
-27.200895,-109.4530483,02/11/2017,23:10:58
-27.2010583,-109.4530217,02/11/2017,23:15:13
-27.2005183,-109.453375,02/11/2017,23:19:22
-27.2014483,-109.45293,02/11/2017,23:23:38
-27.201295,-109.453555,02/11/2017,23:27:46
-27.2010083,-109.4530333,02/11/2017,23:32:05
-27.2009983,-109.4531317,02/11/2017,23:36:26
-27.2009433,-109.453215,02/11/2017,23:40:46
-27.200995,-109.453355,02/11/2017,23:45:06
-27.2009833,-109.4534367,02/11/2017,23:49:26
-27.2009983,-109.4534133,02/11/2017,23:53:57
-27.20101,-109.4535117,02/11/2017,23:58:20
-27.2010883,-109.45355,03/11/2017,00:02:41
-27.201065,-109.4537817,03/11/2017,00:07:07
-27.20096,-109.45306,03/11/2017,00:11:30
-27.2008833,-109.45318,03/11/2017,00:15:33
-27.20095,-109.4530717,03/11/2017,00:19:38
-27.200955,-109.453045,03/11/2017,00:23:42
-27.20092,-109.4530667,03/11/2017,00:27:45
-27.200975,-109.45304,03/11/2017,00:31:48
-27.2009067,-109.4531183,03/11/2017,00:35:51
