Latitude,Longitude,DateGMT,TimeGMT
-27.2010633,-109.45277,24/11/2017,10:49:59
-27.2010767,-109.4528083,24/11/2017,10:54:05
-27.2010667,-109.4528,24/11/2017,10:58:10
-27.2010767,-109.4527917,24/11/2017,11:02:16
-27.20116,-109.4528567,24/11/2017,11:06:21
-27.2011383,-109.4529083,24/11/2017,11:10:26
-27.200975,-109.4526817,24/11/2017,11:14:34
-27.2010767,-109.4528167,24/11/2017,11:18:45
-27.20103,-109.4527617,24/11/2017,11:22:56
-27.2006433,-109.4529017,24/11/2017,11:27:12
-27.20277,-109.452425,24/11/2017,11:31:25
-27.2011217,-109.4523167,24/11/2017,11:35:37
-27.2012317,-109.45292,24/11/2017,11:39:48
-27.201265,-109.453015,24/11/2017,11:43:56
-27.2014217,-109.45255,24/11/2017,11:48:04
-27.2013117,-109.452635,24/11/2017,11:52:14
-27.2006217,-109.4537967,24/11/2017,11:56:25
-27.2011667,-109.4527383,24/11/2017,12:00:33
-27.2013683,-109.4525017,24/11/2017,12:04:40
-27.2012767,-109.4525883,24/11/2017,12:08:49
-27.201265,-109.4525217,24/11/2017,12:12:59
-27.2012,-109.4523117,24/11/2017,12:17:14
-27.20121,-109.4523033,24/11/2017,12:21:26
-27.2011717,-109.4523167,24/11/2017,12:25:37
-27.2012617,-109.4522767,24/11/2017,12:29:43
-27.200245,-109.45359500000001,24/11/2017,12:33:56
-27.201,-109.4527367,24/11/2017,12:38:03
-27.201155,-109.4524733,24/11/2017,12:42:09
-27.20122,-109.4523817,24/11/2017,12:46:16
-27.2011267,-109.4525167,24/11/2017,12:50:21
-27.2010517,-109.45257,24/11/2017,12:54:28
-27.200655,-109.4533633,24/11/2017,12:58:43
-27.2010933,-109.45229,24/11/2017,13:02:50
-27.20102,-109.4525267,24/11/2017,13:06:56
-27.2009617,-109.452275,24/11/2017,13:11:02
-27.2009333,-109.4523,24/11/2017,13:15:09
-27.2008517,-109.4512383,24/11/2017,13:19:16
-27.20068,-109.4520033,24/11/2017,13:23:25
-27.2010717,-109.4529767,24/11/2017,13:27:39
-27.2009433,-109.4528867,24/11/2017,13:31:58
-27.2009617,-109.452905,24/11/2017,13:36:19
-27.2008633,-109.4528983,24/11/2017,13:40:37
-27.2011183,-109.4528583,24/11/2017,13:45:01
-27.2011933,-109.4529183,24/11/2017,13:49:04
-27.2011383,-109.452795,24/11/2017,13:53:07
-27.20137,-109.4530617,24/11/2017,13:57:16
-27.2010717,-109.4527883,24/11/2017,14:01:20
-27.2012183,-109.4529483,24/11/2017,14:05:25
-27.2011717,-109.452765,24/11/2017,14:09:29
-27.19728,-109.46197,24/11/2017,14:13:34
-27.18037,-109.459135,24/11/2017,14:17:38
-27.1596533,-109.4538733,24/11/2017,14:21:41
-27.1314817,-109.4499333,24/11/2017,14:25:43
-27.1039233,-109.4473867,24/11/2017,14:29:46
-27.0783417,-109.44829,24/11/2017,14:33:48
-27.0551,-109.4491117,24/11/2017,14:37:51
-27.0408133,-109.4423533,24/11/2017,14:41:53
-27.0380783,-109.4220617,24/11/2017,14:45:56
-27.0388167,-109.4207667,24/11/2017,14:49:59
-27.0391817,-109.4216633,24/11/2017,14:54:02
-27.0224667,-109.40656,24/11/2017,14:58:05
-27.0036633,-109.39188,24/11/2017,15:02:08
-26.9811567,-109.382095,24/11/2017,15:06:13
-26.9809933,-109.3830483,24/11/2017,15:10:17
-26.9790717,-109.3909267,24/11/2017,15:14:20
-26.9790217,-109.39174,24/11/2017,15:18:24
-26.9790317,-109.392515,24/11/2017,15:22:28
-26.97206,-109.3910333,24/11/2017,15:26:31
-26.9720683,-109.3917383,24/11/2017,15:30:41
-26.97223,-109.39243,24/11/2017,15:34:44
-26.9720767,-109.3929667,24/11/2017,15:38:57
-26.96313,-109.3957733,24/11/2017,15:43:02
-26.9331717,-109.4107317,24/11/2017,15:47:07
-26.92177,-109.4388783,24/11/2017,15:51:12
-26.9076767,-109.4352833,24/11/2017,15:55:17
-26.8902017,-109.4321233,24/11/2017,15:59:22
-26.8781367,-109.428235,24/11/2017,16:03:28
-26.8759533,-109.4323917,24/11/2017,16:07:33
-26.8712567,-109.4330567,24/11/2017,16:11:38
-26.86826,-109.43696,24/11/2017,16:15:50
-26.8659,-109.4369067,24/11/2017,16:20:01
-26.8621183,-109.435295,24/11/2017,16:24:06
-26.8597967,-109.436635,24/11/2017,16:28:20
-26.8558267,-109.4392083,24/11/2017,16:32:33
-26.85202,-109.441085,24/11/2017,16:36:44
-26.8654617,-109.46321,24/11/2017,16:40:56
-26.8686383,-109.456865,24/11/2017,16:45:30
-26.86997,-109.45417,24/11/2017,16:49:35
-26.8683317,-109.4513033,24/11/2017,16:53:40
-26.8649983,-109.4537167,24/11/2017,16:57:46
-26.840235,-109.4498017,24/11/2017,17:01:51
-26.809995,-109.4621967,24/11/2017,17:05:56
-26.78961,-109.4498567,24/11/2017,17:10:01
-26.7776367,-109.43463,24/11/2017,17:14:07
-26.7686417,-109.41745,24/11/2017,17:18:12
-26.7563833,-109.4012617,24/11/2017,17:22:17
-26.7450483,-109.3837867,24/11/2017,17:26:23
-26.738385,-109.36881,24/11/2017,17:30:28
-26.7398617,-109.3553217,24/11/2017,17:34:34
-26.74757,-109.3351833,24/11/2017,17:38:40
-26.75876,-109.3186117,24/11/2017,17:42:46
-26.7663183,-109.3022167,24/11/2017,17:46:52
-26.7766483,-109.2927667,24/11/2017,17:51:01
-26.790795,-109.2805567,24/11/2017,17:55:06
-26.7951417,-109.2662717,24/11/2017,17:59:11
-26.80237,-109.2519717,24/11/2017,18:03:16
