ID	 Latitude	 Longitude	DateGMT	TimeGMT
T62	-27.2012217	-109.4525467	24/11/2017	11:11:53
T62	-27.201195	-109.4525317	24/11/2017	11:15:58
T62	-27.20121	-109.4524817	24/11/2017	11:20:02
T62	-27.2012533	-109.4524483	24/11/2017	11:24:08
T62	-27.2012767	-109.452465	24/11/2017	11:28:15
T62	-27.2012717	-109.4524567	24/11/2017	11:32:20
T62	-27.2012683	-109.45249	24/11/2017	11:36:24
T62	-27.2012517	-109.4524617	24/11/2017	11:40:34
T62	-27.20127	-109.4524517	24/11/2017	11:44:42
T62	-27.201315	-109.4524567	24/11/2017	11:48:46
T62	-27.2012533	-109.452465	24/11/2017	11:52:50
T62	-27.2013167	-109.45249	24/11/2017	11:56:54
T62	-27.2013683	-109.4524117	24/11/2017	12:00:59
T62	-27.2015033	-109.452235	24/11/2017	12:05:03
T62	-27.201475	-109.4522933	24/11/2017	12:09:07
T62	-27.2014733	-109.4523317	24/11/2017	12:13:12
T62	-27.2013833	-109.45239	24/11/2017	12:17:17
T62	-27.2012817	-109.45246	24/11/2017	12:21:22
T62	-27.201565	-109.4523483	24/11/2017	12:25:27
T62	-27.2014683	-109.4524367	24/11/2017	12:29:31
T62	-27.2012383	-109.4524717	24/11/2017	12:33:36
T62	-27.2012667	-109.4528617	24/11/2017	12:37:41
T62	-27.201385	-109.4524567	24/11/2017	12:41:47
T62	-27.20124	-109.4524267	24/11/2017	12:45:52
T62	-27.2012167	-109.452405	24/11/2017	12:49:57
T62	-27.2012817	-109.4524617	24/11/2017	12:54:03
T62	-27.2012583	-109.452455	24/11/2017	12:58:09
T62	-27.2012117	-109.4523867	24/11/2017	13:02:14
T62	-27.201245	-109.4524417	24/11/2017	13:06:19
T62	-27.2011367	-109.4523283	24/11/2017	13:10:28
T62	-27.2009683	-109.452165	24/11/2017	13:14:33
T62	-27.2011833	-109.452365	24/11/2017	13:18:45
T62	-27.2011033	-109.4522683	24/11/2017	13:22:52
T62	-27.200925	-109.45205	24/11/2017	13:27:13
T62	-27.2012367	-109.4524067	24/11/2017	13:31:29
T62	-27.2012117	-109.4523933	24/11/2017	13:35:45
T62	-27.2012217	-109.452395	24/11/2017	13:40:00
T62	-27.2012317	-109.4524233	24/11/2017	13:44:23
T62	-27.2009567	-109.4520333	24/11/2017	13:48:41
T62	-27.2011733	-109.452375	24/11/2017	13:52:59
T62	-27.2012517	-109.4524617	24/11/2017	13:57:30
T62	-27.201265	-109.452445	24/11/2017	14:01:34
T62	-27.20127	-109.4524817	24/11/2017	14:05:39
T62	-27.2012817	-109.4524417	24/11/2017	14:09:44
T62	-27.2012783	-109.452465	24/11/2017	14:13:49
